strm,anonymized_emplid,acad_career,Anonymized_Crs_ID,crs_Campus,crs_Level,primary_section,MON,TUES,WED,THURS,FRI,SAT,SUN,Anonymized_Primary_Course_ID,Anonymized_Concurrent_Course_ID
1197,18210,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,20089,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,21892,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,4698,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,7925,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,13658,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,14994,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,15141,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,18210,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,20089,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,21892,UGRD,4081,Burnaby Campus,400,0,0,0,1,0,0,0,0,4080,NULL
1197,4698,UGRD,4082,Burnaby Campus,400,1,1,0,1,0,0,0,0,4082,NULL
1197,7925,UGRD,4082,Burnaby Campus,400,1,1,0,1,0,0,0,0,4082,NULL
1197,15469,UGRD,4082,Burnaby Campus,400,1,1,0,1,0,0,0,0,4082,NULL
1197,4698,UGRD,4083,Burnaby Campus,400,0,0,0,1,0,0,0,0,4082,NULL
1197,7925,UGRD,4083,Burnaby Campus,400,0,0,0,1,0,0,0,0,4082,NULL
1197,15469,UGRD,4083,Burnaby Campus,400,0,0,0,1,0,0,0,0,4082,NULL
1197,20089,UGRD,4084,Burnaby Campus,400,1,1,0,1,0,0,0,0,4084,4084 - 4087
1197,20089,UGRD,4085,Burnaby Campus,400,0,0,0,1,0,0,0,0,4084,NULL
1197,430,GRAD,4086,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4086,NULL
1197,5637,GRAD,4086,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4086,NULL
1197,6700,GRAD,4086,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4086,NULL
1197,12495,GRAD,4086,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4086,NULL
1197,33343,GRAD,4086,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4086,NULL
1197,6700,GRAD,4087,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4087,4084 - 4087
1197,33343,GRAD,4087,Burnaby Campus,Graduate,1,1,0,1,0,0,0,0,4087,4084 - 4087
1197,2924,GRAD,4088,Burnaby Campus,Graduate,1,0,1,0,1,0,0,0,4088,NULL
1197,33264,GRAD,4088,Burnaby Campus,Graduate,1,0,1,0,1,0,0,0,4088,NULL
1197,34267,GRAD,4088,Burnaby Campus,Graduate,1,0,1,0,1,0,0,0,4088,NULL
1197,34302,GRAD,4088,Burnaby Campus,Graduate,1,0,1,0,1,0,0,0,4088,NULL
1197,34351,GRAD,4088,Burnaby Campus,Graduate,1,0,1,0,1,0,0,0,4088,NULL
1197,3879,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,5491,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,6062,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
